YelpLeaf,YelpParent1,YelpParent2,YelpParent3,MatchLeaf,MatchParent1,MatchParent2,MatchParent3,Tradition,Self-Expression,Utilitarian,Charisma,Egalitarian,Neighborliness,Formality,Exhibitionism,Glamour,Transgression,Rationality,Locality,State,Corporateness,Ethnicity
Rodizios,Brazilian,Restaurants,-,Brazilian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.25
Roman,Italian,Restaurants,-,Italian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Romanian,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Roofing,Home Services,-,-,Roofing Contractors,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Roof Inspectors,Home Services,-,-,Roofing Contractors,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Rotisserie Chicken,Restaurants,-,-,Chicken,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Rugs,Home & Garden,Shopping,-,Home Centres,Building Material and Supplies Dealers,Building Material and Garden Equipment and Supplies Dealers,Retail Trade,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Russian,Restaurants,-,-,Russian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
RV Dealers,Automotive,-,-,Automobile Dealers – Used Cars,-,-,-,3.2,3.0,3.0,3.0,3.0,2.8,3.0,3.0,3.0,2.75,3.0,3.0,3.0,3.75,3.0
RV Parks,Hotels & Travel,-,-,RV parks & campgrounds,-,-,-,3.2,3.2,2.0,2.8,3.0,3.0,2.4,2.2,2.25,3.0,3.0,3.0,3.0,3.0,3.0
RV Rental,Hotels & Travel,-,-,RV parks & campgrounds,-,-,-,3.2,3.2,2.0,2.8,3.0,3.0,2.4,2.2,2.25,3.0,3.0,3.0,3.0,3.0,3.0
RV Repair,Automotive,-,-,Automobile Body Repairing & Painting,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Ryokan,Hotels,Event Planning & Services,-,Hotels,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Safe Stores,Shopping,-,-,General Stores,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Safety Equipment,Shopping,-,-,Safety Equipment & Clothing,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sailing,Active Life,-,-,Outboard Motors,Boats & Watersports,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sake Bars,Bars,Nightlife,-,Bars & Pubs,-,-,-,3.0,3.0,1.8,3.2,3.0,3.8,3.0,3.2,3.0,3.0,2.25,3.5,2.75,3.0,3.0
Salad,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Salumerie,Food,-,-,Delicatessens,-,-,-,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Salvadoran,Latin American,Restaurants,-,Salvadorean Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Samba Schools,Specialty Schools,Education,-,Schools-Special Purpose,Specialized Schools,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sandblasting,Local Services,-,-,Contractors-General,-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sandwiches,Restaurants,-,-,Sandwiches,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sardinian,Italian,Restaurants,-,Italian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sauna Installation & Repair,Home Services,-,-,Sauna Equipment & Supplies,Kitchen & Bath Supplies & Services,-,-,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Saunas,Health & Medical,-,-,Baths & Saunas-Relaxation,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Scandinavian,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Scandinavian Design,Shopping,-,-,Home Designers,-,-,-,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Scavenger Hunts,Active Life,-,-,Adventure Games & Activities,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Schnitzel,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Scooter Rentals,Active Life,-,-,Recreational Vehicles-Renting & Leasing,Motorized Vehicles,-,-,3.0,3.0,2.5,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Scooter Tours,Tours,Hotels & Travel,-,Tour Operators,-,-,-,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
Scottish,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Screen Printing/T-Shirt Printing,Local Services,-,-,Custom – Printed T-Shirts,-,-,-,3.0,4.2,1.8,3.0,2.4,3.4,2.4,3.8,3.25,3.0,3.0,4.0,3.0,1.0,3.0
Screen Printing,Local Services,-,-,Screen Printing,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Scuba Diving,Diving,Active Life,-,Diving,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.2,3.0,3.0,3.0,2.75,3.0,3.0,3.0,3.0
Seafood,Restaurants,-,-,Seafood Restaurant,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Seafood Markets,Specialty Food,Food,-,Fish and Seafood Markets,Specialty Food Stores,Food and Beverage Stores,Retail Trade,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Holiday Decorating Services,Home Services,-,-,Home Decor & Furnishings,-,-,-,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Security Services,Professional Services,-,-,Security Guard & Patrol Service,Administrative & Specialty Services,-,-,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.5,3.0,3.0,3.0,3.0
Security Systems,Home Services,-,-,Home Centres,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Self-defense Classes,Fitness & Instruction,Active Life,-,Martial Arts & Self-Defense Instruction,-,-,-,4.0,2.5,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.5
Self Storage,Local Services,-,-,"Containers-Cargo, Freight, Storage, etc.",-,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Senegalese,African,Restaurants,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Senior Centers,Active Life,-,-,Senior Citizens' Services & Centres,Community Services & Organizations,-,-,3.0,2.5,2.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0
Septic Services,Local Services,-,-,Sanitation Consultants,-,-,-,3.0,2.5,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
Serbo Croatian,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Service Stations,Automotive,-,-,"Automotive Body, Paint and Interior Repair and Maintenance",-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Gas Stations,Automotive,-,-,Oil Company-Distributors,-,-,-,3.0,3.0,4.0,3.0,3.0,2.5,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.5,3.0
Session Photography,Photographers,Event Planning & Services,-,Photographic Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sewing & Alterations,Local Services,-,-,Sewing Machines-Supplies & Attachments,-,-,-,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sex Therapists,Counseling & Mental Health,Health & Medical,-,Sex Therapists,Therapy & Counselling,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Shanghainese,Chinese,Restaurants,-,Chinese Restaurant,-,-,-,4.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Shared Office Spaces,Real Estate,Home Services,-,Room & Boarding Houses,-,-,-,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Shared Taxis,Transportation,Hotels & Travel,-,Community Transport & Carpooling,-,-,-,3.0,3.0,3.0,3.0,4.0,4.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Shaved Ice,Food,-,-,Foods-Freeze-Dried,-,-,-,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Shaved Snow,Food,-,-,Foods-Freeze-Dried,-,-,-,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sheds & Outdoor Storage,Home & Garden,Shopping,-,Patio Furniture & Supplies-Retail,-,-,-,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Shipping Centers,Local Services,-,-,Shipping-Local & overseas,-,-,-,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Shoe Repair,Local Services,-,-,Shoe Repairing,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0
Shoe Stores,Fashion,Shopping,-,Shoe Stores,-,-,-,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Shoe Shine,Local Services,-,-,Shoe Repairing,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0
Shopping Centers,Shopping,-,-,Shopping Centres,-,-,-,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.5,3.0,2.0,3.0,4.0,3.0
Shopping Passages,Shopping,-,-,Shopping Centres,-,-,-,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.5,3.0,2.0,3.0,4.0,3.0
Shredding Services,Professional Services,-,-,"All Other Professional, Scientific and Technical Services",-,-,-,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0
Shrines,Religious Organizations,-,-,Religious organizations,-,-,-,3.8,2.6,2.0,3.8,4.0,4.4,3.4,3.0,3.0,2.25,2.5,2.75,2.0,2.25,3.0
Shutters,Home Services,-,-,Home Centres,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sicilian,Italian,Restaurants,-,Sicilian Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Signature Cuisine,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Signmaking,Professional Services,-,-,Graphic Designers,-,-,-,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sikh Temples,Religious Organizations,-,-,Religious organizations,-,-,-,3.8,2.6,2.0,3.8,4.0,4.4,3.4,3.0,3.0,2.25,2.5,2.75,2.0,2.25,3.0
Silent Disco,Event Planning & Services,-,-,Event Planning,-,-,-,3.0,3.0,3.5,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Singaporean,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Skate Parks,Parks,Active Life,-,Skateboard Parks & Rinks,-,-,-,2.8,3.6,2.0,3.0,3.4,3.0,2.2,3.8,2.0,3.75,2.5,3.0,3.0,2.25,3.0
Skate Shops,Sporting Goods,Shopping,-,Sporting Goods-Retail,Sporting Goods,-,-,3.0,3.0,2.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Skating Rinks,Active Life,-,-,Skating Rinks,-,-,-,3.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Skiing,Active Life,-,-,Skiing facilities,-,-,-,3.0,3.0,2.4,3.0,2.2,3.0,3.6,3.0,3.0,3.0,2.75,3.75,3.0,3.0,3.0
Skilled Nursing,Health & Medical,-,-,Nurses,"Medical Products, Equipment & Services",-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Skin Care,Beauty & Spas,-,-,Beauty Salons,"Barbers, Beauty Salons & Spas",-,-,3.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Ski Resorts,Hotels & Travel,-,-,Ski Centers & Resorts,-,-,-,3.0,3.0,2.2,3.0,1.8,3.0,3.6,3.0,3.0,3.0,2.75,3.75,3.0,3.0,3.0
Ski Schools,Specialty Schools,Education,-,Schools-Special Purpose,Specialized Schools,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Ski & Snowboard Shops,Sporting Goods,Shopping,-,Skiing Equipment-Retail & Rental,"Skiing, Skating & Winter Sports",-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Skydiving,Active Life,-,-,Skydiving,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Sledding,Active Life,-,-,Snow Slides,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0
Sleep Specialists,Health & Medical,-,-,Sleep Disorders,Therapy & Counselling,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sleepwear,Fashion,Shopping,-,Department Stores,-,-,-,3.5,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.5,2.0,3.0,2.0,3.0,3.5,3.0
Slovakian,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Smog Check Stations,Automotive,-,-,Automobile Body Repairing & Painting,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Smokehouse,Food,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Smoking Areas,Local Services,-,-,"Cigar, Cigarette & Tobacco Dealers-Retail",-,-,-,3.5,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0
Snorkeling,Active Life,-,-,Snorkeling-Equipment & supplies,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Snow Removal,Local Services,-,-,Street Cleaning,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
Snuggle Services,Local Services,-,-,Mental Health Services,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Soba,Japanese,Restaurants,-,Japanese Restaurant,-,-,-,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Social Clubs,Arts & Entertainment,-,-,Associations,-,-,-,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0
Social Security Law,Lawyers,Professional Services,-,Lawyers,Administrative & Specialty Services,-,-,3.0,2.0,3.0,2.5,3.0,2.0,4.0,3.0,3.0,2.0,4.0,2.5,4.0,3.0,3.0
Software Development,Professional Services,-,-,Computer Software,-,-,-,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Solar Installation,Home Services,-,-,Solar Energy Equipment & Supplies,Energy & power,-,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Solar Panel Cleaning,Home Services,-,-,Solar Energy Equipment & Supplies,Energy & power,-,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Somali,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sommelier Services,Event Planning & Services,-,-,Event Planning,Consultants,-,-,3.0,3.0,3.5,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Sophrologists,Counseling & Mental Health,Health & Medical,-,Mental Health Services,Therapy & Counselling,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Soul Food,Restaurants,-,-,Soul Food Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,3.4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Soup,Restaurants,-,-,Restaurants,Restaurants,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
South African,African,Restaurants,-,African Restaurant,-,-,-,4.0,3.0,2.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Southern,Restaurants,-,-,Southern Style Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.75
Souvenir Shops,Shopping,-,-,"Gift, Novelty and Souvenir Stores",-,-,-,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Spanish,Restaurants,-,-,Spanish Restaurant,-,-,-,3.8,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0
Day Spas,Beauty & Spas,-,-,Hot Tubs & Spas,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Speakeasies,Bars,Nightlife,-,Drinking Places (Alcoholic Beverages),-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Special Bikes,Bicycles,-,-,Bicycle Accessories,Bicycles,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Special Education,Education,-,-,Schools-Academic-Special Purpose,Academic,-,-,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0
Specialty Schools,Education,-,-,Schools-Special Purpose,Specialized Schools,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Speech Therapists,Health & Medical,-,-,Speech Therapists,-,-,-,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Speech Training,Specialty Schools,Education,-,Public Speaking Instruction,Specialized Schools,-,-,3.0,3.0,3.0,4.0,3.0,3.0,3.0,2.5,3.5,3.0,4.0,3.0,3.0,3.0,3.0
Sperm Clinic,Health & Medical,-,-,Physicians & Surgeons,-,-,-,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
Spine Surgeons,Doctors,Health & Medical,-,Physicians & Surgeons,Physicians & Surgeons,-,-,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
Spiritism,Religious Organizations,-,-,Religious organizations,-,-,-,3.8,2.6,2.0,3.8,4.0,4.4,3.4,3.0,3.0,2.25,2.5,2.75,2.0,2.25,3.0
Spiritual Shop,Shopping,-,-,Religious Goods,-,-,-,4.5,2.0,2.0,4.0,3.0,3.5,3.0,3.0,3.0,2.0,1.5,3.0,2.0,2.0,2.0
Sport Equipment Hire,Active Life,-,-,Sportswear-Retail,-,-,-,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Sporting Goods,Shopping,-,-,Sporting Goods Stores,-,-,-,3.0,3.0,2.5,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Sports Clubs,Active Life,-,-,Sports Teams and Clubs,-,-,-,3.0,3.0,2.0,4.0,3.0,3.5,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0
Sports Bars,Bars,Nightlife,-,Bars & Pubs,-,-,-,3.0,3.0,1.8,3.2,3.0,3.8,3.0,3.2,3.0,3.0,2.25,3.5,2.75,3.0,3.0
Sports Betting,Arts & Entertainment,-,-,All Other Gambling Industries,"Amusement, Gambling and Recreation Industries","Arts, Entertainment and Recreation",-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,2.0,3.0,3.0,3.0,3.0
Sports Medicine,Doctors,Health & Medical,-,Sports Medicine,Sports Services,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Sports Psychologists,Counseling & Mental Health,Health & Medical,-,Psychologists & Psychological Associates,Therapy & Counselling,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Professional Sports Teams,Arts & Entertainment,-,-,Sports Teams and Clubs,-,-,-,3.0,3.0,2.0,4.0,3.0,3.5,2.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0
Sports Wear,Sporting Goods,Shopping,-,Sportswear-Retail,Sporting Goods,-,-,3.0,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0
Spray Tanning,Tanning,Beauty & Spas,-,Tanning Salons,Skin & scalp services & products,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0
Squash,Active Life,-,-,Squash Courts,-,-,-,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0
Sri Lankan,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Stadiums & Arenas,Arts & Entertainment,-,-,"Stadiums, Arenas, Athletic Fields & Sports Complexes",-,-,-,3.0,3.0,2.2,3.6,3.0,3.2,3.0,2.8,3.0,3.0,3.0,4.0,3.0,3.75,3.0
Cards & Stationery,Flowers & Gifts,Shopping,-,Greeting Cards-Retail,Gifts & Novelty,-,-,3.0,3.0,2.0,3.0,3.0,4.0,3.5,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0
Steakhouses,Restaurants,-,-,Restaurants,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Car Stereo Installation,Automotive,-,-,Automobile Detailing,Detailing & Aesthetics,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0
Stockings,Fashion,Shopping,-,Department Stores,General Merchandise Stores,Retail Trade,-,3.5,3.0,3.0,3.5,3.0,3.0,3.0,3.0,3.5,2.0,3.0,2.0,3.0,3.5,3.0
Stonemasons,Local Services,-,-,Artists-Fine Arts,-,-,-,3.5,5.0,1.0,4.0,2.0,3.0,4.0,3.0,4.0,3.5,2.0,3.0,3.0,1.0,3.0
Street Art,Arts & Entertainment,-,-,Arts & Cultural Organizations,Artists & Entertainers,-,-,3.5,3.5,2.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.5,3.0,2.0,3.0
Street Vendors,Food,-,-,Foods-Take-Out,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Strip Clubs,Adult Entertainment,Nightlife,-,Entertainment - Adult,-,-,-,2.0,3.5,2.0,3.0,3.0,2.0,2.5,5.0,3.0,4.5,2.0,3.0,3.0,3.0,3.0
Structural Engineers,Home Services,-,-,Home Builders,Design & Architecture,-,-,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Stucco Services,Home Services,-,-,Homemakers Services,-,-,-,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
